Zipcode,admin_name1,Lat,Long,accuracy
132123,Haryana,29.8,76.9833,4
132124,Haryana,29.9669,76.7443,
132125,Haryana,29.9669,76.7443,
132128,Haryana,29.9833,76.5833,4
132129,Haryana,30.1172,76.6661,4
132130,Haryana,29.9228,76.9344,
132131,Haryana,29.9228,76.9344,
132132,Haryana,29.9944,77.0444,4
132133,Haryana,30.0333,77.15,4
132134,Haryana,29.9228,76.9344,
132135,Haryana,29.9228,76.9344,
132136,Haryana,29.9228,76.9344,
132137,Haryana,29.9467,76.9097,4
132138,Haryana,29.7167,76.6333,4
132142,Haryana,29.3092,76.9014,
132143,Haryana,29.3092,76.9014,
132144,Haryana,29.3092,76.9014,
132145,Haryana,29.3092,76.9014,4
132146,Haryana,29.3092,76.9014,
132149,Haryana,29.3092,76.9014,
132150,Haryana,29.4167,74.55,
132151,Haryana,29.4167,74.55,
132152,Haryana,29.4167,74.55,4
132153,Haryana,29.4167,74.55,
132154,Haryana,29.4167,74.55,
133001,Haryana,30.3783,76.7808,4
133004,Haryana,25.4808,78.7571,
133005,Haryana,25.4808,78.7571,
133102,Haryana,30.2,77.15,
133104,Haryana,30.3097,76.975,4
133105,Haryana,30.2549,77.0625,
133201,Haryana,30.3833,77.2167,
133202,Haryana,30.3833,77.2167,
133203,Haryana,30.3833,77.2167,
133204,Haryana,30.3833,77.2167,4
133205,Haryana,30.3833,77.2167,
133206,Haryana,30.3833,77.2167,
133207,Haryana,30.3833,77.2167,
133208,Haryana,30.3833,77.2167,
133301,Haryana,28.3709,77.7712,
133302,Haryana,28.3709,77.7712,
134002,Haryana,30.5224,77.046,
134003,Haryana,30.5224,77.046,
134007,Haryana,30.5224,77.046,
134011,Haryana,30.5224,77.046,
134012,Haryana,30.5224,77.046,
134101,Haryana,30.5224,77.046,
134102,Haryana,30.5224,77.046,
134104,Haryana,30.5224,77.046,
134107,Haryana,30.5224,77.046,
134108,Haryana,30.5224,77.046,
134109,Haryana,30.5224,77.046,
134112,Haryana,30.5224,77.046,
134113,Haryana,30.5224,77.046,
134118,Haryana,29.3833,75.9167,
134201,Haryana,30.4561,76.9339,4
134202,Haryana,30.45,77.0333,4
134203,Haryana,30.4833,77.1333,4
134204,Haryana,30.5224,77.046,
134205,Haryana,30.7,77.0833,4
134206,Haryana,30.5224,77.046,
135001,Haryana,30.1667,77.3,
135002,Haryana,30.1667,77.3,
135003,Haryana,30.1667,77.3,4
135103,Haryana,30.25,77.3667,4
135104,Haryana,30.25,77.3667,
140001,Punjab,30.7871,76.5526,
140102,Punjab,31.2583,76.3958,
140104,Punjab,31.2583,76.3958,
140108,Punjab,31.2583,76.3958,
140109,Punjab,31.2583,76.3958,
140112,Punjab,31.1333,76.5417,
140113,Punjab,31.0167,76.5833,4
140117,Punjab,31.1333,76.5417,
140118,Punjab,31.25,76.5,4
140119,Punjab,31.1333,76.5417,
140123,Punjab,31.4,76.1167,4
140124,Punjab,31.3833,76.25,
140125,Punjab,31.3667,76.3833,4
140126,Punjab,31.3833,76.25,
140202,Punjab,30.7871,76.5526,
140301,Punjab,30.7444,76.6478,4
140306,Punjab,30.7222,76.6572,
140307,Punjab,30.7,76.6667,4
140401,Punjab,30.4831,76.595,4
140405,Punjab,30.4831,76.595,
140406,Punjab,30.4831,76.595,
140412,Punjab,30.5872,76.8428,4
140413,Punjab,30.5872,76.8428,
140501,Punjab,30.7871,76.5526,
140502,Punjab,30.7871,76.5526,
140506,Punjab,30.7871,76.5526,
140601,Punjab,30.5556,76.7183,4
140602,Punjab,30.5958,76.6328,4
140701,Punjab,30.4172,76.5064,4
140702,Punjab,30.3322,76.6072,4
140801,Punjab,30.7833,76.3833,
140802,Punjab,30.7833,76.3833,4
141001,Punjab,30.8676,75.8444,4
141002,Punjab,30.9,75.85,
141003,Punjab,30.9,75.85,4
141004,Punjab,30.9,75.85,
141005,Punjab,30.9,75.85,4
141007,Punjab,30.9,75.85,4
141008,Punjab,30.9,75.85,
141102,Punjab,30.6833,75.625,
141104,Punjab,30.6833,75.625,
141105,Punjab,30.6833,75.625,
141106,Punjab,30.6833,75.625,
141107,Punjab,30.7167,75.65,4
141108,Punjab,30.6833,75.625,
141109,Punjab,30.65,75.6,4
141111,Punjab,30.7949,76.1071,
141113,Punjab,30.7949,76.1071,
141114,Punjab,30.8367,76.1897,4
141115,Punjab,30.9147,76.1983,4
141116,Punjab,30.7949,76.1071,
141118,Punjab,30.7949,76.1071,
141119,Punjab,30.6333,75.9333,4
141120,Punjab,30.7503,75.9143,
141121,Punjab,30.7503,75.9143,
141122,Punjab,30.7503,75.9143,
141124,Punjab,30.7503,75.9143,
141201,Punjab,30.75,75.75,
141203,Punjab,30.75,75.75,4
141204,Punjab,30.75,75.75,
141205,Punjab,30.75,75.75,
141206,Punjab,30.75,75.75,
141302,Punjab,31.0917,75.6081,
141303,Punjab,31.1667,75.6167,4
141305,Punjab,19.9833,80.7333,
141307,Punjab,31.0917,75.6081,
141308,Punjab,31.0119,75.6111,4
141309,Punjab,31.0964,75.5967,4
141310,Punjab,31.1258,75.4733,
141311,Punjab,31.0879,75.4783,
141315,Punjab,31.05,75.4833,4
141317,Punjab,31.0879,75.4783,
141401,Punjab,30.8167,76.0333,
141402,Punjab,30.8167,76.0333,
141412,Punjab,30.8167,76.05,
141413,Punjab,30.8167,76.05,
141414,Punjab,30.8167,76.05,
141415,Punjab,30.8167,76.05,
141416,Punjab,30.8167,76.05,
141417,Punjab,30.8167,76.05,
141418,Punjab,30.8167,76.05,4
141419,Punjab,30.8167,76.05,
141421,Punjab,30.8167,76.0167,4
142001,Punjab,30.7457,75.2044,
142011,Punjab,31.1833,75.25,4
142021,Punjab,30.7457,75.2044,
142022,Punjab,30.7457,75.2044,
142023,Punjab,30.7457,75.2044,
142026,Punjab,30.7457,75.2044,
142027,Punjab,30.7457,75.2044,
142029,Punjab,30.7457,75.2044,
142030,Punjab,30.675,75.4167,
142031,Punjab,30.675,75.4167,
142032,Punjab,30.6667,75.55,4
142034,Punjab,30.675,75.4167,
142035,Punjab,30.675,75.4167,
142036,Punjab,30.675,75.4167,
142037,Punjab,30.6833,75.2833,4
142040,Punjab,31.1033,74.9978,
142042,Punjab,31.1033,74.9978,
